Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-04 09:15:00+05:30,99.0,99.0,74.8,96.65,19618,NIFTY10FEB2625950CE
2026-02-04 09:18:00+05:30,96.65,103.75,91.35,95.5,17411,NIFTY10FEB2625950CE
2026-02-04 09:21:00+05:30,95.7,101.7,90.0,99.65,14281,NIFTY10FEB2625950CE
2026-02-04 09:24:00+05:30,99.7,111.9,99.4,106.95,21420,NIFTY10FEB2625950CE
2026-02-04 09:27:00+05:30,107.05,110.0,98.45,100.55,13498,NIFTY10FEB2625950CE
2026-02-04 09:30:00+05:30,100.15,115.0,99.6,110.8,18511,NIFTY10FEB2625950CE
2026-02-04 09:33:00+05:30,110.55,112.05,99.85,103.9,12620,NIFTY10FEB2625950CE
2026-02-04 09:36:00+05:30,103.95,105.8,93.75,98.3,10019,NIFTY10FEB2625950CE
2026-02-04 09:39:00+05:30,98.45,106.0,94.5,104.55,10461,NIFTY10FEB2625950CE
2026-02-04 09:42:00+05:30,104.6,113.4,103.9,110.6,13993,NIFTY10FEB2625950CE
2026-02-04 09:45:00+05:30,110.7,117.0,107.0,110.6,17687,NIFTY10FEB2625950CE
2026-02-04 09:48:00+05:30,110.8,113.75,106.65,108.35,8978,NIFTY10FEB2625950CE
2026-02-04 09:51:00+05:30,108.3,109.55,96.05,96.55,11321,NIFTY10FEB2625950CE
2026-02-04 09:54:00+05:30,96.55,104.3,95.45,100.25,9509,NIFTY10FEB2625950CE
2026-02-04 09:57:00+05:30,100.2,107.85,97.55,105.8,9453,NIFTY10FEB2625950CE
2026-02-04 10:00:00+05:30,105.7,108.65,101.1,103.0,8402,NIFTY10FEB2625950CE
2026-02-04 10:03:00+05:30,102.85,108.3,100.15,105.95,6388,NIFTY10FEB2625950CE
2026-02-04 10:06:00+05:30,105.6,110.85,99.3,109.35,10919,NIFTY10FEB2625950CE
2026-02-04 10:09:00+05:30,109.65,112.2,105.7,105.7,9668,NIFTY10FEB2625950CE
2026-02-04 10:12:00+05:30,105.95,108.2,100.5,103.55,6822,NIFTY10FEB2625950CE
2026-02-04 10:15:00+05:30,103.45,106.0,100.5,100.9,4147,NIFTY10FEB2625950CE
2026-02-04 10:18:00+05:30,101.0,104.05,95.55,98.8,9056,NIFTY10FEB2625950CE
2026-02-04 10:21:00+05:30,98.6,99.95,90.95,92.2,7787,NIFTY10FEB2625950CE
2026-02-04 10:24:00+05:30,92.25,95.45,89.25,92.95,7576,NIFTY10FEB2625950CE
2026-02-04 10:27:00+05:30,93.3,93.55,88.6,91.65,4733,NIFTY10FEB2625950CE
2026-02-04 10:30:00+05:30,91.45,93.05,88.8,89.85,4281,NIFTY10FEB2625950CE
2026-02-04 10:33:00+05:30,89.45,89.7,82.2,84.85,11409,NIFTY10FEB2625950CE
2026-02-04 10:36:00+05:30,84.85,85.1,79.5,82.85,6780,NIFTY10FEB2625950CE
2026-02-04 10:39:00+05:30,82.85,90.9,81.6,88.55,10546,NIFTY10FEB2625950CE
2026-02-04 10:42:00+05:30,88.3,90.25,85.55,88.4,5754,NIFTY10FEB2625950CE
2026-02-04 10:45:00+05:30,88.4,90.55,83.9,88.7,5856,NIFTY10FEB2625950CE
2026-02-04 10:48:00+05:30,88.7,91.85,87.0,89.25,7292,NIFTY10FEB2625950CE
2026-02-04 10:51:00+05:30,89.2,91.4,87.3,88.0,4429,NIFTY10FEB2625950CE
2026-02-04 10:54:00+05:30,88.0,89.0,84.2,87.05,4370,NIFTY10FEB2625950CE
2026-02-04 10:57:00+05:30,87.45,89.5,84.15,87.1,4176,NIFTY10FEB2625950CE
2026-02-04 11:00:00+05:30,86.95,90.0,84.35,87.05,5260,NIFTY10FEB2625950CE
2026-02-04 11:03:00+05:30,87.1,91.95,84.2,87.25,8694,NIFTY10FEB2625950CE
2026-02-04 11:06:00+05:30,87.3,89.6,85.9,86.3,4669,NIFTY10FEB2625950CE
2026-02-04 11:09:00+05:30,85.95,86.3,78.4,79.0,10464,NIFTY10FEB2625950CE
2026-02-04 11:12:00+05:30,78.95,81.0,76.55,80.4,7115,NIFTY10FEB2625950CE
2026-02-04 11:15:00+05:30,80.55,80.8,74.15,75.7,6015,NIFTY10FEB2625950CE
2026-02-04 11:18:00+05:30,75.5,78.1,74.7,78.05,4343,NIFTY10FEB2625950CE
2026-02-04 11:21:00+05:30,77.85,80.2,76.45,76.65,3563,NIFTY10FEB2625950CE
2026-02-04 11:24:00+05:30,76.55,76.95,73.2,75.4,5473,NIFTY10FEB2625950CE
2026-02-04 11:27:00+05:30,75.45,77.35,71.8,75.9,6897,NIFTY10FEB2625950CE
2026-02-04 11:30:00+05:30,75.75,78.8,73.5,77.55,4281,NIFTY10FEB2625950CE
2026-02-04 11:33:00+05:30,77.5,78.15,74.6,75.4,3518,NIFTY10FEB2625950CE
2026-02-04 11:36:00+05:30,75.3,77.0,73.85,75.8,2880,NIFTY10FEB2625950CE
2026-02-04 11:39:00+05:30,75.75,79.9,75.3,78.3,3755,NIFTY10FEB2625950CE
2026-02-04 11:42:00+05:30,78.25,80.7,76.5,78.5,4497,NIFTY10FEB2625950CE
2026-02-04 11:45:00+05:30,78.5,80.55,74.05,74.65,6300,NIFTY10FEB2625950CE
2026-02-04 11:48:00+05:30,74.8,77.85,73.2,74.45,3312,NIFTY10FEB2625950CE
2026-02-04 11:51:00+05:30,74.45,75.1,72.05,75.0,4157,NIFTY10FEB2625950CE
2026-02-04 11:54:00+05:30,75.0,82.15,75.0,77.8,8985,NIFTY10FEB2625950CE
2026-02-04 11:57:00+05:30,77.95,81.2,77.75,80.9,3994,NIFTY10FEB2625950CE
2026-02-04 12:00:00+05:30,80.9,83.95,77.8,78.8,6609,NIFTY10FEB2625950CE
2026-02-04 12:03:00+05:30,78.9,78.9,74.4,77.7,5769,NIFTY10FEB2625950CE
2026-02-04 12:06:00+05:30,77.75,81.7,76.55,81.4,4210,NIFTY10FEB2625950CE
2026-02-04 12:09:00+05:30,81.4,82.75,79.9,81.95,5155,NIFTY10FEB2625950CE
2026-02-04 12:12:00+05:30,81.95,82.8,78.6,82.4,4184,NIFTY10FEB2625950CE
2026-02-04 12:15:00+05:30,82.25,83.8,80.2,81.75,6092,NIFTY10FEB2625950CE
2026-02-04 12:18:00+05:30,81.9,82.15,77.85,80.2,4494,NIFTY10FEB2625950CE
2026-02-04 12:21:00+05:30,80.1,80.4,76.25,78.35,3145,NIFTY10FEB2625950CE
2026-02-04 12:24:00+05:30,78.05,81.6,75.5,81.1,4499,NIFTY10FEB2625950CE
2026-02-04 12:27:00+05:30,80.95,84.6,80.45,80.45,7734,NIFTY10FEB2625950CE
2026-02-04 12:30:00+05:30,80.6,80.95,74.8,76.9,6186,NIFTY10FEB2625950CE
2026-02-04 12:33:00+05:30,77.1,77.9,75.3,75.5,4345,NIFTY10FEB2625950CE
