Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-01 11:48:00+05:30,66.6,69.95,65.65,69.8,151,NIFTY10FEB2625950CE
2026-02-01 11:51:00+05:30,70.2,71.95,67.45,67.45,120,NIFTY10FEB2625950CE
2026-02-01 11:54:00+05:30,67.45,69.2,57.6,61.3,333,NIFTY10FEB2625950CE
2026-02-01 11:57:00+05:30,61.25,69.0,61.15,62.9,188,NIFTY10FEB2625950CE
2026-02-01 12:00:00+05:30,61.05,62.25,57.15,60.25,166,NIFTY10FEB2625950CE
2026-02-01 12:03:00+05:30,60.25,62.0,58.15,60.1,149,NIFTY10FEB2625950CE
2026-02-01 12:06:00+05:30,60.6,70.65,59.9,69.25,237,NIFTY10FEB2625950CE
2026-02-01 12:09:00+05:30,69.3,70.15,50.45,50.45,272,NIFTY10FEB2625950CE
2026-02-01 12:12:00+05:30,50.05,53.0,44.7,46.85,593,NIFTY10FEB2625950CE
2026-02-01 12:15:00+05:30,44.75,46.55,41.25,42.9,468,NIFTY10FEB2625950CE
2026-02-01 12:18:00+05:30,42.35,42.7,33.55,37.6,663,NIFTY10FEB2625950CE
2026-02-01 12:21:00+05:30,38.15,41.05,37.0,40.45,232,NIFTY10FEB2625950CE
2026-02-01 12:24:00+05:30,40.5,41.55,34.9,35.2,378,NIFTY10FEB2625950CE
2026-02-01 12:27:00+05:30,35.35,35.35,29.7,30.95,602,NIFTY10FEB2625950CE
2026-02-01 12:30:00+05:30,30.95,32.95,20.45,32.15,832,NIFTY10FEB2625950CE
2026-02-01 12:33:00+05:30,33.05,37.6,30.0,36.0,549,NIFTY10FEB2625950CE
2026-02-01 12:36:00+05:30,35.25,40.5,35.05,37.95,387,NIFTY10FEB2625950CE
2026-02-01 12:39:00+05:30,38.45,39.4,35.0,35.0,201,NIFTY10FEB2625950CE
2026-02-01 12:42:00+05:30,35.0,39.6,35.0,36.55,213,NIFTY10FEB2625950CE
2026-02-01 12:45:00+05:30,35.7,38.6,34.95,37.15,324,NIFTY10FEB2625950CE
2026-02-01 12:48:00+05:30,36.95,37.3,30.3,33.5,270,NIFTY10FEB2625950CE
2026-02-01 12:51:00+05:30,33.2,33.55,31.3,31.3,157,NIFTY10FEB2625950CE
2026-02-01 12:54:00+05:30,32.1,35.8,31.85,35.8,173,NIFTY10FEB2625950CE
2026-02-01 12:57:00+05:30,35.95,38.0,34.15,34.45,165,NIFTY10FEB2625950CE
2026-02-01 13:00:00+05:30,35.45,35.85,32.9,34.15,188,NIFTY10FEB2625950CE
2026-02-01 13:03:00+05:30,34.55,36.5,33.6,34.1,264,NIFTY10FEB2625950CE
2026-02-01 13:06:00+05:30,34.1,34.55,32.35,34.0,179,NIFTY10FEB2625950CE
2026-02-01 13:09:00+05:30,34.0,34.75,31.05,31.05,126,NIFTY10FEB2625950CE
2026-02-01 13:12:00+05:30,31.85,36.5,31.8,34.75,168,NIFTY10FEB2625950CE
2026-02-01 13:15:00+05:30,35.05,35.3,33.55,34.05,130,NIFTY10FEB2625950CE
2026-02-01 13:18:00+05:30,33.9,35.6,33.6,35.6,78,NIFTY10FEB2625950CE
2026-02-01 13:21:00+05:30,35.0,37.05,35.0,35.05,145,NIFTY10FEB2625950CE
2026-02-01 13:24:00+05:30,35.0,35.9,32.35,33.0,56,NIFTY10FEB2625950CE
2026-02-01 13:27:00+05:30,32.35,33.05,30.0,30.4,147,NIFTY10FEB2625950CE
2026-02-01 13:30:00+05:30,30.3,31.4,28.8,30.9,143,NIFTY10FEB2625950CE
2026-02-01 13:33:00+05:30,30.45,32.95,30.25,32.0,102,NIFTY10FEB2625950CE
2026-02-01 13:36:00+05:30,31.4,31.65,30.05,30.55,87,NIFTY10FEB2625950CE
2026-02-01 13:39:00+05:30,30.6,30.6,28.7,28.7,76,NIFTY10FEB2625950CE
2026-02-01 13:42:00+05:30,28.55,29.55,27.85,29.0,158,NIFTY10FEB2625950CE
2026-02-01 13:45:00+05:30,29.4,30.15,28.2,28.6,85,NIFTY10FEB2625950CE
2026-02-01 13:48:00+05:30,28.65,29.0,27.0,27.2,97,NIFTY10FEB2625950CE
2026-02-01 13:51:00+05:30,27.25,27.8,25.05,25.5,186,NIFTY10FEB2625950CE
2026-02-01 13:54:00+05:30,25.95,27.95,25.65,26.7,140,NIFTY10FEB2625950CE
