Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-03 09:33:00+05:30,350.0,361.05,342.05,356.75,101,NIFTY10FEB2625950PE
2026-02-03 09:36:00+05:30,354.6,359.95,345.1,345.1,194,NIFTY10FEB2625950PE
2026-02-03 09:39:00+05:30,343.9,350.25,343.0,345.35,56,NIFTY10FEB2625950PE
2026-02-03 09:42:00+05:30,350.85,358.05,349.95,355.6,25,NIFTY10FEB2625950PE
2026-02-03 09:45:00+05:30,355.6,385.45,353.95,371.0,70,NIFTY10FEB2625950PE
2026-02-03 09:48:00+05:30,369.0,369.0,325.0,328.15,59,NIFTY10FEB2625950PE
2026-02-03 09:51:00+05:30,331.15,341.0,312.5,339.5,56,NIFTY10FEB2625950PE
2026-02-03 09:54:00+05:30,340.0,350.8,340.0,349.95,50,NIFTY10FEB2625950PE
2026-02-03 09:57:00+05:30,345.0,384.35,342.5,370.5,261,NIFTY10FEB2625950PE
2026-02-03 10:00:00+05:30,365.95,371.5,361.5,362.4,43,NIFTY10FEB2625950PE
2026-02-03 10:03:00+05:30,362.05,384.95,358.0,383.5,58,NIFTY10FEB2625950PE
2026-02-03 10:06:00+05:30,390.0,410.1,387.5,391.95,25,NIFTY10FEB2625950PE
2026-02-03 10:09:00+05:30,380.0,406.3,379.35,406.3,68,NIFTY10FEB2625950PE
2026-02-03 10:12:00+05:30,404.9,404.9,387.0,392.95,37,NIFTY10FEB2625950PE
2026-02-03 10:15:00+05:30,384.6,384.6,344.35,346.05,24,NIFTY10FEB2625950PE
2026-02-03 10:18:00+05:30,347.2,347.2,322.0,334.45,61,NIFTY10FEB2625950PE
2026-02-03 10:21:00+05:30,336.5,336.6,324.5,324.5,16,NIFTY10FEB2625950PE
2026-02-03 10:24:00+05:30,324.5,328.4,312.45,312.45,64,NIFTY10FEB2625950PE
2026-02-03 10:27:00+05:30,315.75,331.0,315.4,329.05,70,NIFTY10FEB2625950PE
2026-02-03 10:30:00+05:30,326.65,330.65,311.6,313.65,97,NIFTY10FEB2625950PE
2026-02-03 10:33:00+05:30,315.55,315.55,290.7,296.15,133,NIFTY10FEB2625950PE
2026-02-03 10:36:00+05:30,294.85,304.3,294.85,304.1,59,NIFTY10FEB2625950PE
