Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-01 09:15:00+05:30,667.85,667.85,667.85,667.85,0,NIFTY10FEB2625950PE
2026-02-01 09:18:00+05:30,680.6,680.65,671.3,676.4,8,NIFTY10FEB2625950PE
2026-02-01 09:21:00+05:30,673.6,673.6,673.6,673.6,1,NIFTY10FEB2625950PE
2026-02-01 09:24:00+05:30,680.15,680.15,677.95,677.95,2,NIFTY10FEB2625950PE
2026-02-01 09:27:00+05:30,670.7,670.7,670.7,670.7,1,NIFTY10FEB2625950PE
2026-02-01 09:30:00+05:30,679.2,679.2,677.7,677.7,2,NIFTY10FEB2625950PE
2026-02-01 09:33:00+05:30,674.15,674.45,674.15,674.45,4,NIFTY10FEB2625950PE
2026-02-01 09:42:00+05:30,670.9,670.9,670.9,670.9,1,NIFTY10FEB2625950PE
2026-02-01 09:45:00+05:30,645.0,645.0,642.0,642.0,3,NIFTY10FEB2625950PE
2026-02-01 09:48:00+05:30,655.7,655.7,655.7,655.7,1,NIFTY10FEB2625950PE
2026-02-01 09:57:00+05:30,655.0,655.0,655.0,655.0,1,NIFTY10FEB2625950PE
2026-02-01 10:00:00+05:30,660.0,660.0,658.6,658.65,4,NIFTY10FEB2625950PE
2026-02-01 10:30:00+05:30,625.0,632.0,625.0,632.0,6,NIFTY10FEB2625950PE
2026-02-01 11:00:00+05:30,637.45,637.45,637.45,637.45,1,NIFTY10FEB2625950PE
2026-02-01 11:03:00+05:30,644.85,644.85,644.85,644.85,1,NIFTY10FEB2625950PE
2026-02-01 11:06:00+05:30,590.05,590.05,590.0,590.0,4,NIFTY10FEB2625950PE
2026-02-01 11:09:00+05:30,569.7,574.55,560.0,567.95,14,NIFTY10FEB2625950PE
2026-02-01 11:12:00+05:30,569.0,569.0,569.0,569.0,1,NIFTY10FEB2625950PE
2026-02-01 11:15:00+05:30,592.25,592.25,588.05,588.05,2,NIFTY10FEB2625950PE
2026-02-01 11:18:00+05:30,609.0,624.95,609.0,624.95,6,NIFTY10FEB2625950PE
2026-02-01 11:21:00+05:30,601.8,606.6,601.8,606.6,2,NIFTY10FEB2625950PE
2026-02-01 11:24:00+05:30,606.0,606.8,606.0,606.8,2,NIFTY10FEB2625950PE
2026-02-01 11:30:00+05:30,604.05,604.05,604.05,604.05,1,NIFTY10FEB2625950PE
2026-02-01 11:39:00+05:30,629.0,629.0,629.0,629.0,1,NIFTY10FEB2625950PE
2026-02-01 11:42:00+05:30,642.5,642.5,642.5,642.5,1,NIFTY10FEB2625950PE
2026-02-01 11:45:00+05:30,668.2,669.0,668.2,669.0,2,NIFTY10FEB2625950PE
2026-02-01 11:48:00+05:30,656.9,657.2,656.9,657.2,5,NIFTY10FEB2625950PE
2026-02-01 11:51:00+05:30,641.75,641.75,641.75,641.75,1,NIFTY10FEB2625950PE
2026-02-01 11:54:00+05:30,637.35,647.85,637.35,647.85,53,NIFTY10FEB2625950PE
2026-02-01 12:00:00+05:30,680.0,680.0,680.0,680.0,1,NIFTY10FEB2625950PE
2026-02-01 12:06:00+05:30,680.0,680.0,611.25,611.25,20,NIFTY10FEB2625950PE
2026-02-01 12:09:00+05:30,635.7,679.95,604.6,679.95,12,NIFTY10FEB2625950PE
2026-02-01 12:12:00+05:30,716.75,726.6,716.75,726.6,3,NIFTY10FEB2625950PE
2026-02-01 12:18:00+05:30,879.65,879.65,870.95,870.95,3,NIFTY10FEB2625950PE
2026-02-01 12:21:00+05:30,857.45,901.75,857.4,867.1,5,NIFTY10FEB2625950PE
2026-02-01 12:30:00+05:30,1109.3,1146.7,1106.3,1146.7,10,NIFTY10FEB2625950PE
2026-02-01 12:33:00+05:30,1043.4,1043.4,1043.4,1043.4,1,NIFTY10FEB2625950PE
2026-02-01 12:36:00+05:30,1014.45,1014.45,1014.45,1014.45,2,NIFTY10FEB2625950PE
2026-02-01 12:48:00+05:30,962.65,962.65,962.65,962.65,2,NIFTY10FEB2625950PE
2026-02-01 13:12:00+05:30,831.6,831.6,831.6,831.6,2,NIFTY10FEB2625950PE
2026-02-01 13:33:00+05:30,869.45,869.45,869.45,869.45,2,NIFTY10FEB2625950PE
2026-02-01 13:51:00+05:30,918.75,918.75,918.65,918.65,2,NIFTY10FEB2625950PE
2026-02-01 14:03:00+05:30,932.85,932.85,932.85,932.85,1,NIFTY10FEB2625950PE
2026-02-01 14:42:00+05:30,898.95,899.0,898.95,899.0,12,NIFTY10FEB2625950PE
2026-02-01 14:48:00+05:30,941.0,959.0,941.0,959.0,10,NIFTY10FEB2625950PE
2026-02-01 14:57:00+05:30,1041.95,1041.95,1032.15,1032.15,3,NIFTY10FEB2625950PE
2026-02-01 15:24:00+05:30,1225.65,1225.65,1225.65,1225.65,1,NIFTY10FEB2625950PE
2026-02-01 15:27:00+05:30,1216.6,1216.65,1216.6,1216.65,3,NIFTY10FEB2625950PE
