Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-05 09:15:00+05:30,88.6,88.6,63.65,70.7,24399,NIFTY10FEB2625950CE
2026-02-05 09:18:00+05:30,71.15,73.2,57.35,58.4,15646,NIFTY10FEB2625950CE
2026-02-05 09:21:00+05:30,58.35,59.35,55.0,56.8,11824,NIFTY10FEB2625950CE
2026-02-05 09:24:00+05:30,56.85,58.5,54.1,56.35,9829,NIFTY10FEB2625950CE
2026-02-05 09:27:00+05:30,56.3,58.95,53.6,58.4,9091,NIFTY10FEB2625950CE
2026-02-05 09:30:00+05:30,58.6,63.5,58.2,60.5,11441,NIFTY10FEB2625950CE
2026-02-05 09:33:00+05:30,60.65,63.7,55.3,56.25,9114,NIFTY10FEB2625950CE
2026-02-05 09:36:00+05:30,56.3,57.9,52.4,53.3,8091,NIFTY10FEB2625950CE
2026-02-05 09:39:00+05:30,53.55,55.85,51.8,52.5,5814,NIFTY10FEB2625950CE
2026-02-05 09:42:00+05:30,52.45,52.6,48.9,49.75,11251,NIFTY10FEB2625950CE
2026-02-05 09:45:00+05:30,49.6,50.55,47.65,49.55,10377,NIFTY10FEB2625950CE
2026-02-05 09:48:00+05:30,49.55,51.35,48.6,50.75,6484,NIFTY10FEB2625950CE
2026-02-05 09:51:00+05:30,50.55,51.55,49.1,50.05,4748,NIFTY10FEB2625950CE
2026-02-05 09:54:00+05:30,50.1,50.55,47.7,49.65,5324,NIFTY10FEB2625950CE
2026-02-05 09:57:00+05:30,49.85,51.35,49.15,49.95,5058,NIFTY10FEB2625950CE
2026-02-05 10:00:00+05:30,49.8,50.85,48.4,48.9,3406,NIFTY10FEB2625950CE
2026-02-05 10:03:00+05:30,48.75,51.45,48.4,50.15,3417,NIFTY10FEB2625950CE
2026-02-05 10:06:00+05:30,50.15,52.0,49.0,49.8,4014,NIFTY10FEB2625950CE
2026-02-05 10:09:00+05:30,49.75,52.25,49.4,51.0,6036,NIFTY10FEB2625950CE
2026-02-05 10:12:00+05:30,50.9,51.9,49.5,50.85,4921,NIFTY10FEB2625950CE
2026-02-05 10:15:00+05:30,51.0,51.5,49.4,49.4,4463,NIFTY10FEB2625950CE
2026-02-05 10:18:00+05:30,49.35,53.7,49.35,53.6,4259,NIFTY10FEB2625950CE
2026-02-05 10:21:00+05:30,53.5,55.7,51.4,55.25,11034,NIFTY10FEB2625950CE
2026-02-05 10:24:00+05:30,55.25,56.75,54.1,54.8,7195,NIFTY10FEB2625950CE
2026-02-05 10:27:00+05:30,54.75,56.4,50.25,50.65,5431,NIFTY10FEB2625950CE
2026-02-05 10:30:00+05:30,50.75,51.5,47.6,49.2,6620,NIFTY10FEB2625950CE
2026-02-05 10:33:00+05:30,49.15,49.6,46.4,46.45,4151,NIFTY10FEB2625950CE
2026-02-05 10:36:00+05:30,46.6,48.2,44.35,44.4,4766,NIFTY10FEB2625950CE
2026-02-05 10:39:00+05:30,44.4,46.15,43.55,45.85,6178,NIFTY10FEB2625950CE
2026-02-05 10:42:00+05:30,45.9,46.0,44.0,44.05,3149,NIFTY10FEB2625950CE
2026-02-05 10:45:00+05:30,44.05,45.15,43.3,43.6,3467,NIFTY10FEB2625950CE
2026-02-05 10:48:00+05:30,43.5,44.5,42.7,44.15,3692,NIFTY10FEB2625950CE
2026-02-05 10:51:00+05:30,44.0,44.6,42.1,42.35,2437,NIFTY10FEB2625950CE
2026-02-05 10:54:00+05:30,42.4,43.4,41.7,42.3,2573,NIFTY10FEB2625950CE
2026-02-05 10:57:00+05:30,42.4,43.75,40.65,42.6,6103,NIFTY10FEB2625950CE
2026-02-05 11:00:00+05:30,42.75,43.3,41.05,43.3,3395,NIFTY10FEB2625950CE
2026-02-05 11:03:00+05:30,43.25,44.4,43.25,44.2,3511,NIFTY10FEB2625950CE
2026-02-05 11:06:00+05:30,44.15,45.2,43.85,44.75,4397,NIFTY10FEB2625950CE
2026-02-05 11:09:00+05:30,44.65,45.75,44.05,45.55,3549,NIFTY10FEB2625950CE
2026-02-05 11:12:00+05:30,45.7,47.95,45.65,47.05,4544,NIFTY10FEB2625950CE
2026-02-05 11:15:00+05:30,47.35,47.85,45.3,45.5,3183,NIFTY10FEB2625950CE
2026-02-05 11:18:00+05:30,45.4,45.85,42.95,44.2,2955,NIFTY10FEB2625950CE
2026-02-05 11:21:00+05:30,44.45,44.85,43.35,44.0,1544,NIFTY10FEB2625950CE
2026-02-05 11:24:00+05:30,44.05,44.3,42.1,43.5,2073,NIFTY10FEB2625950CE
2026-02-05 11:27:00+05:30,43.65,44.75,43.4,43.6,1676,NIFTY10FEB2625950CE
2026-02-05 11:30:00+05:30,43.6,45.5,42.2,43.1,2484,NIFTY10FEB2625950CE
2026-02-05 11:33:00+05:30,43.2,44.2,42.1,42.6,1523,NIFTY10FEB2625950CE
2026-02-05 11:36:00+05:30,42.45,46.0,42.45,45.55,2990,NIFTY10FEB2625950CE
2026-02-05 11:39:00+05:30,45.6,46.45,44.1,44.45,2955,NIFTY10FEB2625950CE
2026-02-05 11:42:00+05:30,44.6,46.4,44.5,44.85,2140,NIFTY10FEB2625950CE
2026-02-05 11:45:00+05:30,45.05,45.05,43.0,43.1,3419,NIFTY10FEB2625950CE
2026-02-05 11:48:00+05:30,43.15,43.2,40.8,41.1,3340,NIFTY10FEB2625950CE
2026-02-05 11:51:00+05:30,41.05,42.1,41.05,41.5,1649,NIFTY10FEB2625950CE
2026-02-05 11:54:00+05:30,41.45,43.0,41.35,42.25,1690,NIFTY10FEB2625950CE
2026-02-05 11:57:00+05:30,42.25,42.95,41.5,42.7,1844,NIFTY10FEB2625950CE
2026-02-05 12:00:00+05:30,42.75,42.75,40.6,42.15,1824,NIFTY10FEB2625950CE
2026-02-05 12:03:00+05:30,42.2,43.45,42.0,42.65,2664,NIFTY10FEB2625950CE
2026-02-05 12:06:00+05:30,42.6,43.2,40.65,40.9,2927,NIFTY10FEB2625950CE
2026-02-05 12:09:00+05:30,40.75,42.0,40.75,41.6,1756,NIFTY10FEB2625950CE
2026-02-05 12:12:00+05:30,41.65,41.65,40.55,41.2,2666,NIFTY10FEB2625950CE
2026-02-05 12:15:00+05:30,41.1,41.2,39.6,40.25,2685,NIFTY10FEB2625950CE
