Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-06 09:15:00+05:30,27.5,30.65,21.55,29.05,44189,NIFTY10FEB2625950CE
2026-02-06 09:18:00+05:30,29.1,31.4,23.55,24.8,23079,NIFTY10FEB2625950CE
2026-02-06 09:21:00+05:30,24.8,26.25,22.8,23.3,12953,NIFTY10FEB2625950CE
2026-02-06 09:24:00+05:30,23.35,24.3,21.25,21.4,9535,NIFTY10FEB2625950CE
2026-02-06 09:27:00+05:30,21.45,23.9,20.35,20.6,9406,NIFTY10FEB2625950CE
2026-02-06 09:30:00+05:30,20.6,21.1,19.35,20.6,9705,NIFTY10FEB2625950CE
2026-02-06 09:33:00+05:30,20.55,21.25,19.5,19.7,7355,NIFTY10FEB2625950CE
2026-02-06 09:36:00+05:30,19.75,20.3,18.4,18.5,19865,NIFTY10FEB2625950CE
2026-02-06 09:39:00+05:30,18.5,19.95,18.5,19.2,19052,NIFTY10FEB2625950CE
2026-02-06 09:42:00+05:30,19.15,19.45,18.45,19.0,7534,NIFTY10FEB2625950CE
2026-02-06 09:45:00+05:30,18.95,20.25,18.95,20.05,6524,NIFTY10FEB2625950CE
2026-02-06 09:48:00+05:30,20.05,20.3,19.15,19.55,5003,NIFTY10FEB2625950CE
2026-02-06 09:51:00+05:30,19.45,20.1,19.15,19.55,3859,NIFTY10FEB2625950CE
2026-02-06 09:54:00+05:30,19.45,19.65,18.8,18.95,4046,NIFTY10FEB2625950CE
2026-02-06 09:57:00+05:30,18.95,19.9,18.7,19.75,3272,NIFTY10FEB2625950CE
2026-02-06 10:00:00+05:30,19.8,20.55,17.35,17.65,9671,NIFTY10FEB2625950CE
2026-02-06 10:03:00+05:30,17.7,18.15,16.5,17.25,17200,NIFTY10FEB2625950CE
2026-02-06 10:06:00+05:30,17.2,17.3,16.0,16.75,7554,NIFTY10FEB2625950CE
2026-02-06 10:09:00+05:30,16.75,17.0,15.5,15.65,7590,NIFTY10FEB2625950CE
2026-02-06 10:12:00+05:30,15.65,15.95,15.25,15.8,9541,NIFTY10FEB2625950CE
2026-02-06 10:15:00+05:30,15.8,16.45,15.65,16.4,6985,NIFTY10FEB2625950CE
2026-02-06 10:18:00+05:30,16.35,17.4,16.3,16.8,7927,NIFTY10FEB2625950CE
2026-02-06 10:21:00+05:30,16.75,17.75,16.4,17.15,5866,NIFTY10FEB2625950CE
2026-02-06 10:24:00+05:30,17.2,17.5,16.4,17.05,5315,NIFTY10FEB2625950CE
2026-02-06 10:27:00+05:30,17.05,17.1,15.45,15.45,5485,NIFTY10FEB2625950CE
